Jrk. nr	Autor	Pealkiri	sarja nimetus	köide	zanr	kirjastus	aasta	kogus	Laenutatud
2276	Kertu Rakke	Susanna ja mina	 		romaan	Kadikas	2002		
2277	Truman Capote	Hommikusöök Tiffany juures	 		romaan	Hotger	2002		
2278	Meg Cabot	Armunud printsess	 		romaan	Varrak	2002		
2279	Sebastian Junger	Täiuslik torm	 		põnevusromaan	Eesti Raamat	2002		
2280	Iain M. Banks	The Excession	 		põnevusromaan	Orbit	1996		
2281	Martin Booth	Draakoni sündikaadid	 		põnevusromaan	Varrak	2002		
2282	Arthur Hailey	Rattad	Menukirjanike sari		põnevusromaan	Ersen	2002		
2283	Kuulo Kutsar	Õnnetused/Esmaabi	 		tarkvara	Valgus	1998		
2284	Fiona Walker	Suudlusejaht	Varraku ajaviiteromaan		romaan	Varrak	2002		
2285	Tony Parsons	Mees ja poiss	Elu Pluss		romaan	Varrak	2002		
2286	Stephen White	Ohu märgid	 		kriminaalromaan	Ersen	2002		
2287	Jayne Ann Krentz	Varastatud maal	III osa triloogiast	II	romaan	Ersen	2002		
2288	Patricia D. Cornwell	Võigas paljastus	 		põnevusromaan	Varrak	2002		
2289	Linda Howard	Härra Täiuslik	New York Times'I Bestseller		romaan	Ersen	2002		
2290	Jan Guillou	Tee Jeruusalemma	 		põnevusromaan	Avita	2002		
2291	Jayne Ann Krentz	Suits peeglis	New York Times'I Bestseller		romaan	Ersen	2002		
2292	Claire Cross	Kaksikhaare	 		romaan	Ersen	2003		
2293	Jan Guillou	Templirüütel	 		põnevusromaan	Avita	2003		
2294	J.D.Robb	Surmas surematu	 		kriminaalromaan	Ersen	2001		
2295	Jan Guillou	Riik tee lõpus	 		romaan	Avita	2001		
2296	Nora Roberts	Eraelu saladused	New York Times'I Bestseller		romaan	Ersen	2002		
2297	Aleksandra Marinina	Surmajärgne pilt	Alibi		kriminaalromaan	Avita	2002		
2298	Mike Gayle	Minu legendaarne tüdruksõber	Anne Raamat		romaan	Tänapäev	2002		
2299	John Grisham	Vennad	 		romaan	Varrak	2002		
2300	Hando Runnel	Omad	 		luule	Ilmamaa	2002		
2301	William Shakespeare	"Poeemid, sonetid ja muud luuletused"	 		luule	Eesti Keele Sihtasutus	2002		
2302	Rosamunde Pilcher	Magav tiiger	 		romaan	Eesti Raamat	2003		
2303	Jacqueline Wilson	Tracy Beakeri lugu	 		laste	Hotger	2002		
2304	"Anders Jacobssons, Sören Olsson"	Sune läheb teise klassi	 		laste	Hotger	2001		
2305	"Anders Jacobssons, Sören Olsson"	Jälle see Sune	 		laste	Hotger	2001		
2306	Daphne du Maurier	"Rachel, mu piin"	 		romaan	Perioodika	1998		
2307	Aleksandra Marinina	Kõige eest tuleb maksta	 		kriminaalromaan	Avita	2002		
2308	Wilbur Smith	Seitsmes papüürusrull	 	II	seiklusromaan	Perioodika	1998		
2309	Wilbur Smith	Seitsmes papüürusrull	 	I	seiklusromaan	Perioodika	1998		
2310	Alexandra Campbell	Firmapidu	Varraku ajaviiteromaan		romaan	Varrak	2003		
2311	Marc Levy	Ja kui see oleks tõsi	Varraku ajaviiteromaan		romaan	Varrak	2001		
2312	Martin Cruz Smith	Kuues detsember             	Toimik	1	romaan	Ersen	2003		
2313	Paul Sussman	Kambyesese kadunud sõjavägi	 		romaan	Varrak	2003		
2314	Erich Maria Remarque	Gam	 		romaan	Eesti Raamat	2003		
2315	Meg Cabot	Printsess ootusõhinas	Printsessi Päevikud		noorsooromaan	Varrak	2003		
2316	Arthur Hailey	Uurija	Toimik	2	kriminaalromaan	Ersen	2003		
2317	Ross Thomas	Kibuvitsatihnik	 		kriminaalromaan	Varrak	2003		
2318	Kaur Kender	Pangapettus	 		kriminaalromaan	Pegasus	2002		
2319	Priit Aimla	Lend üle naljasoone	 		naljaraamat	Pegasus	2002		
2320	Lisa Gardner	Ellujääjate klubi	Toimik	3	kriminaalromaan	Ersen	2003		
2321	Judith Michael	Varjatud lood	Varraku ajaviiteromaan		romaan	Varrak	2003		
2322	Nora Roberts	Õhus tantsides	Kolme õe saar	I osa	romaan	Ersen	2003		
2323	Mary Higgins Clark	Issi väike tüdruk	Toimik	4	kriminaalromaan	Ersen	2003		
2324	Rosamunde Pilcher	Aprillilumi	 		romaan	Eesti Raamat	2003		
2325	Nora Roberts	Taevas ja maa	Kolme õe saar	II osa	romaan	Ersen	2003		
2326	Darja Dontsova	Minu mehe naine	 		irooniline kriminaalromaan	Ersen	2003		
2327	Nora Roberts	Silmitsi tulega	Kolme õe saar	III osa	romaan	Ersen	2003		
2328	Tim Green	Seadusesätted	Toimik	5	kriminaalromaan	Ersen	2003		
2329	Anthony Berkeley	Mõrv Piccadillyl	Põnevusromaan		kriminaalromaan	Kuldsulg	2001		
2330	Isabel Wolff	Tiffany Trotti katsumused	Elu Pluss		romaan	Varrak	2003		
2331	Nora Roberts	Kummituste maja	New York Times'I Bestseller		romaan	Varrak	2003		
2332	Darja Dontsova	Magavad väsinud mängukannid	 		kriminaalromaan	Ersen	2002		
2333	Patricia D. Cornwell	Süttimiskoht	 		kriminaalromaan	Varrak	2003		
2334	Cindy Blake	Viimane vallaline mees	Elu Pluss		romaan	Varrak	2003		
2335	Nora Roberts	Kodusadam	New York Times'I Bestseller		romaan	Ersen	2003		
2336	Nora Roberts	Avalikud saladused	New York Times'I Bestseller		romaan	Ersen	2002		
2337	Nora Roberts	Saatusejumalannad	New York Times'I Bestseller		romaan	Ersen	2003		
2338	Nora Roberts	Kummituste maja	New York Times'I Bestseller		romaan	Ersen	2003		
2339	Nora Roberts	Kodulahe kütkes	"Triloogia Mere kütkes, Tõusulained, Sisesadam"	IV	romaan	Ersen	2003		
2340	Elizabeth Buchan	Naise kättemaks	Varraku ajaviiteromaan		romaan	Varrak	2003		
2341	Amy Jenkins	Mesinädalad	Elu Pluss		romaan	Varrak	2003		
2342	Jude Deveraux	Mooruspuu	New York Times'I Bestseller		romaan	Ersen	2003		
2343	Olivia Goldsmith	Moodsa hilinemisega	 		romaan	Hotger	2001		
2344	Friedrich Dürrenmatt	Kreeklane otsib kreeklannat	 		näidend	Eesti Raamat	1969		
2345	John Grisham	Testament	 		kriminaalromaan	Varrak	2003		
2346	Michael Connelly	Kümnesendise jahil	Toimik	7	kriminaalromaan	Ersen	2003		
2347	S.S.Van Dine	Bensoni mõrvajuhtum	Põnevusromaan		kriminaalromaan	Kuldsulg	2001		
2348	Darja Dontsova	Bassein krokodillidega			kriminaalromaan	Ersen	2003		
2349	George P. Pelecanos	Kuratlik võlg	Toimik	6	kriminaalromaan	Ersen	2003		
2350	Jennifer Crusie	Kelmused	New York Times'I Bestseller		romaan	Ersen	2003		
2351	Kathy Reichs	Sünged saladused	New York Times'I Bestseller		kriminaalromaan	Ersen	2003		
2352	Jayne Ann Krentz	Valgus varjus	New York Times'I Bestseller		romaan	Ersen	2003		
2353	Jayne Ann Krentz	Armunud kosjamoor	Eclipse Bay triloogia	II	romaan	Ersen	2002		
2354	Lothar-Günther Buccheim	Das Boot: Ühe allveelaeva lugu	 		romaan	Sild	2003		
2355	Mary Higgins Clark	Enne kui ma hüvasti jätan	Toimik	8	kriminaalromaan	Ersen	2003		
2356	Elizabeth George	Vaenlasega kõrvuti	 		kriminaalromaan	Varrak	2003		
2357	Carly Phillips	Poissmees	triloogia	I	armastus	Ersen	2003		
2358	Carly Phillips	Elumees	triloogia	II	armastus	Ersen	2003		
2359	Giles Milton	Võidujooks Vürtsisaartele	Rännuraamat		reisikirjeldus	Varrak	2000		
2360	Sheila O'Flanagan	Äkki üksik	Elu Pluss		romaan	Varrak	2003		
2361	John le Carre	Ustav aednik	Varraku põnevusromaan		põnevusromaan	Varrak	2003		
2362	Allison Pearson	Kuidas ta seda suudab?	 		romaan	Pegasus	2003		
2363	Elmore Leonard	Tishomingo bluus	 		põnevusromaan	Varrak	2003		
2364	Carter Brown	Siidpehme õudus	 		põnevusromaan	Katariina	2003		
2365	Robert Ludlum	Aquitaine'I progressioon	 		thriller	Hotger	2003		
2366	Neil Gaiman	Ameerika Jumalad	 		põnevusromaan	Tänapäev	2003		
2367	Dan Brown	Da Vunci kood	Toimik	9	kriminaalromaan	Ersen	2003		
2368	Karen Robards	Sosinad südaööl	New York Times'I Bestseller		romaan	Ersen	2003		
2369	Nora Roberts	Sünniõigus	New York Times'I Bestseller		romaan	Ersen	2003		
2370	Robin Bruce Lockhart	Reilly: luureäss	 		kriminaalromaan	Canopus	2003		
2371	John Grisham	Kohtukutse	 		kriminaalromaan	Ersen	2003		
2372	Thomas Harris	Hannibal	Menukirjanike sari		psühhoterror	Ersen	2003		
2373	Stella Cameron	Klaasmajad	New York Times'I Bestseller		romaan	Ersen	2003		
2374	Edgar Wallace	Roheline kütt	Põnevusromaan		põnevusromaan	Kuldsulg	2003		
2375	Kate Saunders	Abielumäng	Varraku ajaviiteromaan		romaan	Varrak	2003		
2376	Michael Connelly	Kuu needus	Toimik	10	kriminaalromaan	Ersen	2004		
2377	Svjatoslav Romanov	Atlantise kadumine	 		kriminaalromaan	Hotger	2004		
2378	Michael Prescott	Järgmine over	Toimik	11	kriminaalromaan	Ersen	2004		
2379	Henning Mankell	Riia verekoerad	Kupra kriminaalromaan		kriminaalromaan	Kupar	1996		
2380	Boriss Akunin	"""Leviathan"""	 		kriminaalromaan	Tänapäev	1998		
2381	Liza Marklund	Pommuudis	 		kriminaalromaan	Suur Eesti Raamatuklubi	2001		
2382	Darja Dontsova	Lendas üle kalkunipesa	 		kriminaalromaan	Ersen	2002		
2383	Ken Follett	Vapsiku lend	 		kriminaalromaan	Ersen	2002		
2384	Jude Deveraux	Metsorhideed	New York Times'I Bestseller		romaan	Ersen	2003		
2385	Gwen Bailey	Mida mu koer mõtleb?	 		õppeteos	Varrak	2003		
2386	Hazel Dixon-Cooper	Närune sünnikuupäev	 		astroloogia	Ersen	2003		
2387	Jeff Nichol	Kas mu koer on terve?	 		õppeteos	Ersen	2001		
2388	Marie Sallander	Koeraomaniku kokaraamat	 		õppeteos	Odamees	2002		
2389	D. Caroline Coile	Show me!	 		õppeteos	Barron's	1997		
2390	Kätlin Vainola & Lemmit Kaplinski	Eesti slängi sõnaraamat	 		õppeteos	Aule	2003		
2391	Iain M. Banks	Excession	 		sci-fi	Orb	1996		
2392	Lembit Uustulnd	Reis võlgu	 		mereromaan	Varrak	2004		
2393	Linda Howard	Jahihooaeg	New York Times'I Bestseller		romaan	Ersen	2001		
2394	J.K.Rowling	Harry Potter ja fööniksi ordu	Harry Potteri lood	V	laste	Varrak	2003		
2395	Jane Wenham-Jones	Salajased armulood	Anne Raamat		romaan	Tänapäev	2004		
2396	Susan Mallery	Sädeleja	 	I	romaan	Ersen	2003		
2397	Jayne Ann Krentz	Tõde on valus	New York Times'I Bestseller		romaan	Ersen	2004		
2398	Susan Mallery	Targutaja	 	II	romaan	Ersen	2004		
2399	Nora Roberts	Valguse võti	New York Times'I Bestseller		romaan	Ersen	2004		
2400	Susan Mallery	Võrgutaja	 	III	romaan	Ersen	2004		
2401	Lynda Curnyn	Ekspruudi pihtimused	Red Dress INK		romaan	Varrak	2004		
2402	Nora Roberts	Teadmiste võti	 	II	romaan	Ersen	2004		
2403	Darja Dontsova	45-kaliibrine naeratus	 		kriminaalromaan	Ersen	2003		
2404	Lisa Gardner	Järgmine avarii	Toimik	13	kriminaalromaan	Ersen	2004		
2405	Leif Davidsen	Vene lauljanna	 		kriminaalromaan	Tormikiri	2004		
2406	Frederick Forsyth	Tasuja	 		kriminaalromaan	Varrak	2004		
2407	Darja Dontsova	Ketsides kummitus	 		kriminaalromaan	Ersen	2004		
2408	Meg Cabot	Printsess roosas	Printsessi päevikud	V	noorte romaan	Varrak	2004		
2409	Mihhail Bulgakov	Meister ja Margarita	 		romaan	Varrak	1995		
2410	Sarah Mlynovski	Jogurtikokteil	Red Dress INK		romaan	Varrak	2004		
2411	Nora Roberts	Vapruse võti	New York Times'I Bestseller	III	romaan	Ersen	2004		
2412	Lisa Gardner	Mõrvatund	Toimik	14	kriminaalromaan	Ersen	2004		
2413	Robert Ludlum	Parzivali mosaiik	 		triller	Hotger	2004		
2414	James Patterson	Suur paha hunt	Toimik	15	põnevusromaan	Ersen	2004		
2415	Jüri Tuulik	Linnusita	 		jutustused	Maalehe raamat	2004		
2416	Susannah Bates	Särav elu	Varraku ajaviiteromaan		romaan	Varrak	2004		
2417	Alexander McCall Smith	Esimene Daamide Detektiivi Agentuur	 		romaan	Varrak	2004		
2418	Eino Baskin	Baskini kogutud anekdoodid	 		anekdoodikogumik	Tänapäev	2004		
2419	Frederic Delavier	"Jõu, tervise ja ilu anatoomia naisele"	 		tervis	Kirilille kirjastus	2004		
2420	Frederic Delavier	"Jõu, ilu ja tervise anatoomia"	 		tervis	Kirilille kirjastus	2001		
2421	Paulo Coelho	Üksteist minutit	 		romaan	Pilgrim	2004		
2422	Jane Blanchard	Tahan kõike	Varraku ajaviiteromaan		romaan	Varrak	2002		
2423	Marian Keyes	Sushi algajatele	Varraku ajaviiteromaan		romaan	Varrak	2003		
2424	Libby Purves	Vaba naine	Varraku ajaviiteromaan		romaan	Varrak	2003		
2425	David Baldacci	Sekundi murdosa	Toimik	17	romaan	Ersen	2004		
2426	Svetlana Loginova	Bandiitlik Ida-Virumaa	 		romaan	?	2004		
2427	Olivia Goldsmith	Vanglasemud	New York Times'I Bestseller		romaan	Ersen	2002		
2428	Linda Howard	Kõik kuninganna eest	New York Times'I Bestseller		romaan	Ersen	2003		
2429	Sandra Brown	Kadedus	New York Times'I Bestseller		romaan	Ersen	2002		
2430	Sandra Brown	Kiindumus	New York Times'I Bestseller		romaan	Ersen	2003		
2431	Lisa Gardner	Täiuslik abikaasa	New York Times'I Bestseller		romaan	Ersen	2002		
2432	Allan ja Barbara Pease	Miks mehed valetavad ja naised nutavad	 		psühholoogia	Ersen	2003		
2433	Charlotte Bingham	Suveaeg	Varraku ajaviiteromaan		romaan	Varrak	2002		
2434	Lynda la Plante	Külm suhtumine	Kriminaalromaan		kriminaalromaan	Varrak	2001		
2435	Stella Cameron	Hingetu	 		kriminaalromaan	Ersen	2000		
2436	Hando Runnel	Suureks saamine	 		luulekogu	Ilmamaa	2004		
2437	Michael Prescott	Pimedad paigad	Toimik	18	kriminaalromaan	Ersen	2004		
2438	Jilly Cooper	Appassionata	Varraku ajaviiteromaan		romaan	Varrak	2001		
2439	Carter Brown	Blondiin	 		kriminaalromaan	Katariina	2004		
2440	Jayne Ann Krentz	Klaasi lummuses	Kirg ja põnevus		kriminaalromaan	Ersen	2004		
2441	Wendy Markham	Veidike vallaline	Red Dress INK		romaan	Varrak	2003		
2442	William Sutcliffe	Armukuusnurk	Elu pluss		romaan	Varrak	2002		
2443	Lisa Plumley	Armastus teisest pilgust	 		romaan	Ersen	2003		
2444	Andy McNab	Tulemüür	 		põnevusromaan	Tänapäev	2004		
2445	Jean-Christoph Grange	Huntide impeerium	 		põnevusromaan	Varrak	2004		
2446	T.Jefferson Parker	Must vesi	 		kriminaalromaan	Ersen	2004		
2447	Mary Higgins Clark	Mõrvad kodutänavas	Maailma menukid		kriminaalromaan	Ersen	2004		
2448	Lisa Cash	Kohtamine tuimastuseta	Red Dress INK		romaan	Varrak	2003		
2449	Jill Mansell	Paarismäng	Elu pluss		romaan	Varrak	2003		
2450	Harlan Coben	Igavikku haihtunud	Maailma menukid		põnevusromaan	Ersen	2004		
2451	Jay Maclarty	Kuller	Toimik	16	kriminaalromaan	Ersen	2004		
2452	Nora Roberts	Kirglik kättemaks	Kirg ja põnevus		romaan	Ersen	2004		
2453	Mary Higgins Clark	Veel üks võimalus	Toimik	119	kriminaalromaan	Ersen	2004		
2454	Tatjana Ustinova	Halbade aegade kroonika			kriminaalromaan	Ersen	2004		
2455	Darja Dontsova	Rahakas kärnkonn	 		irooniline kriminaalromaan	Ersen	2004		
2456	Darja Dontsova	Maniküür laibale	 		irooniline kriminaalromaan	Ersen	2004		
2457	John Grisham	Hagejate kuningas	 		põnevusromaan	Varrak	2004		
2458	Sue Grafton	Oht	New York Times'I Bestseller		kriminaalromaan	Ersen	2003		
2459	J.D.Robb & Nora Roberts	Hukatuslik ekstaas	 	I	kriminaalromaan	Ersen	2004		
2460	J.D.Robb & Nora Roberts	Hukatuslik kättemaks	 	II	kriminaalromaan	Ersen	2004		
2461	J.D.Robb & Nora Roberts	Hukatuslik nõidus	 	III	kriminaalromaan	Ersen	2004		
2462	Jayne Ann Krentz	Hiilgav tulevärk	New York Times'I Bestseller		romaan	Ersen	2004		
2463	Kathy Reichs	Paljad luud	Toimik	20	kriminaalromaan	Ersen	2004		
2464	Beverly Barton	Tema iga liigutus	Kirg ja põnevus		romaan	Ersen	2004		
2465	Tatjana Ustinova	Lahutus ja neiupõlvenimi	Kaasaegne vene kriminaalromaan		kriminaalromaan	Ersen	2004		
2466	Elizabeth George	Pääsmiseks paljudele	 		kriminaalromaan	Varrak	1998		
2467	Darja Dontsova	Propelleriga Harpüia	 		kriminaalromaan	Ersen	2004		
2468	Alexandre Dumas	Naiste sõda	Suuri sõnameistreid		romaan	Kirjastuskeskus	2004		
2469	Catherine Coulter	Üheteistkümnes tund	Kirg ja põnevus		romaan	Ersen	2004		
2470	Sandra Brown	"Tere, pimedus"	Kirg ja põnevus		romaan	Ersen	2004		
2471	Darja Dontsova	Kontrollsuudlus	 		irooniline kriminaalromaan	Ersen	2004		
2472	Sandra Brown	Kibemagus vihm	Armastusromaan		romaan	Ersen	2004		
2473	Jayne Ann Krentz	Ärkamine	New York Times'I Bestseller		romaan	Ersen	2004		
2474	Robert W.Walker	Pime instinkt	Toimik	21	kriminaalromaan	Ersen	2004		
2475	Sandra Brown	Peidetud kired	Armastusromaan		armastusromaan	Ersen	2004		
2476	Nora Roberts	Ehtsad Reetmised	New York Times'I Bestseller		romaan	Ersen	2004		
2477	Louise Bagshawe	Vana vaenlane	Anne Raamat		romaan	Tänapäev	2004		
2478	Tim Green	Viies ingel	Toimik	22	romaan	Ersen	2004		
2479	Karen Ralls	Templirüütlid ja Graal. Rüütliretked	 		populaarteaduslik	Ersen	2004		
2480	Sandra Brown	Skandaali hingus	 		armastusromaan	Ersen	2004		
2481	Robert Ludlum	Tristani reetmine	 		põnevik	Hotger	2004		
2482	Nora Roberts	Korallrahu	New York Times'I Bestseller		romaan	Ersen	2004		
2483	Jeffery Deaver	Kivist ahv	Maailma menukid		romaan	Ersen	2004		
2484	Sandra Brown	Siidvõrk	Armastusromaan		romaan	Ersen	2005		
2485	Nora Roberts	Süüdimatu himurus	Kirg ja põnevus		romaan	Ersen	2005		
2486	Jüri Pino ja Karl Martin Sininjärv	Sigalahe suvi	Varraku ajaraisuromaan		romaan	Varrak	2004		
2487	Michael Connelly	Kitsus	Toimik	23	romaan	Ersen	2005		
2488	Jayne Ann Krentz	Pehme fookus	Kirg ja põnevus		romaan	Ersen	2005		
2489	Nora Roberts	Pelgupaik	Kirg ja põnevus		romaan	Ersen	2004		
2490	Jay Maclarty	Kotipoiss	Toimik	24	romaan	Ersen	2005		
2491	Elme Väljaste	Kordussaade	 		romaan	Tänapäev	2003		
2492	Tatjana Ustinova	Varuinstinkt	Kaasaegne vene kriminaalromaan		kriminaalromaan	Ersen	2005		
2493	Eric Chritiansen	Põhjala ristisõjad	 		ajalooline	Tänapäev	2004		
2494	Carly Phillips	Vaba mees	triloogia	III	armastusromaan	Ersen	2005		
2495	Nora Roberts	Teekonna lõpp	Kirg ja põnevus		naiste krimka	Ersen	2005		
2496	James Fenimore Cooper	Hirvekütt	Seiklusjutte maalt ja merelt		romaan	Eesti Ekspressi Kirjastus	2004		
2497	Carter Brown	Eksootilised mängud	 		kriminaalromaan	Katariina	2004		
2498	Nora Roberts	Ausad illusioonid	New York Times'I Bestsellerite autor		romaan	Ersen	2005		
2499	Dan Brown	Inglid ja deemonid	 		romaan	Ersen	2005		
2500	Tess Gerritsen	Teisik	Toimik	25	romaan	Ersen	2005		
2501	Daniel Silva	Inglise palgamõrvar	Maailma menukid		romaan	Ersen	2005		
2502	Daniel Silva	Pihiisa	Maailma menukid		romaan	Ersen	2005		
2503	Tatjana Ustinova	Üks vari kahe peale	Kaasaegne vene kriminaalromaan		kriminaalromaan	Ersen	2005		
2504	John Grisham	Viimane vandekohtunik	 		kriminaalromaan	Varrak	2005		
2505	Sue  Welfare	Kiisukesed	Varraku ajaviiteromaan		romaaan	Varrak	2002		
2506	Darja Dontsova	Sulnis kaabakas	 		irooniline kriminaalromaan	Ersen	2005		
2507	Nora Roberts	Sinine daalia	triloogia	I	romaan	Ersen	2005		
2508	Michael Palmer	Kokkumäng	Maailma menukid		romaan	Ersen	2005		
2509	William Shakespeare	Romeo ja Julia	Europeia	34	Näidend	Perioodika	2000		
2510	William Shakespeare	Hamlet	Europeia	42	Näidend	Avita	1998		
2511	Nora Roberts	Virmalised	New York Timesi bestseller		kriminaalromaan	Ersen	2005		
2512	Patricia Cornwell	Herilasepesa	 		kriminaalromaan	Varrak	2005		
2513	Thomas Harris	Punane Draakon	 		romaan	Tänapäev	2003		
2514	Tatjana Ustinova	Omad inimesed	Kaasaegne vene kriminaalromaan		kriminaalromaan	Ersen	2005		
2515	Darja Dontsova	Ka hambaarstid nutavad			irooniline kriminaalromaan	Ersen	2005		
2516	Lisa Jackson	Saladused	New York Times'I bestseller		naiste krimka	Ersen	2002		
2517	Anne Stuart	Kuutõus	New York Times'I bestseller		kriminaalromaan	Ersen	2001		
2518	Michael Connelly	Pimedam kui öö	Toimik	26	kriminaalromaan	Ersen	2005		
2519	Megan McKinney	Armastuse varjatud pale	New York Times'I bestseller		naiste krimka	Ersen	2004		
2520	Patricia Cornwell	Teadmata kadunud	 		kriminaalromaan	Varrak	2005		
2521	Sass Henno	Mina olin siin	2004 romaanivõistluse võitja		romaan	Eesti Päevaleht	2005		
2522	Anne Stuart	Rituaalsed patud	New York Timesi bestseller		naiste krimka	Ersen	2002		
2523	Daniel Silva	Surm Viinis	Maailma menukid		kriminaalromaan	Ersen	2005		
2524	Elizabeth Buchan	Hea naine teeb tagasi	Varraku ajaviiteromaan		romaan	Varrak	2005		
2525	James Patterson	Mesinädalad	Toimik	27	kriminaalromaan	Ersen	2005		
2526	Nancy Geary	Õnnetus	New York Times'I bestseller		naiste krimka	Ersen	2002		
2527	Julie Garwood	Mõrvnimekiri	New York Times'I bestseller		naiste krimka	Ersen	2005		
2528	Tatjana Ustinova	Äraspidise võluväe seadus	Kaasaegne vene kriminaalromaan		kriminaalromaan	Ersen	2005		
2529	Robert B. Parker	Vilets äri	Toimik	28	kriminaalromaan	Ersen	2005		
2530	Nancy Thayer	Kuumahoogude klubi	Armastusromaan		romaan	Ersen	2005		
2531	Jean-Christophe Grange	Purpurjõed	 		romaan	Varrak	2005		
2532	Nora Roberts	Väikesed nõialood	Armastusromaan		armastusromaan	Ersen	2005		
2533	Juha Ruusuvuori	Läänemere mereröövlid	 		romaan	Tänapäev	2005		
2534	Sandra Brown	Tuliviha	Kirg ja põnevus		romaan	Ersen	2005		
2535	Stella Cameron	Nähtaval	Kirg ja põnevus		romaan	Ersen	2005		
2536	Carter Brown	"Tütarlaps, keda ei olnud"	 		kriminaalromaan	Katariina	2005	2 tk	
2537	Alexander McCall Smith	Kaekirjaku pisarad	 		romaan	Varrak	2005		
2538	Carole Matthews	Heas ja halvas	 		romaan	Tänapäev	2005		
2539	Carol Grace	Armastus on see …	 		armastusromaan	Tänapäev	2005		
2540	Carter Brown	Plüüsiga vooderdatud kirst			kriminaalromaan	Katariina	2003		
2541	Anton Tšehhov	Jutustused	Punane raamat		jutustused	Tänapäev	2005		
2542	Henrik Ibsen	"Näidendid (Nukumaja,  Metspart)"	Valik väärtkirjandust		näidendid	Avita	2005		
2543	Andrea Kane	Ma jälgin sind	Maailma menukid		romaan	Ersen	2005		
2544	Indrek Hargla	Palveränd uude maailma	 		romaan	Varrak	2003		
2545	"James Patterson, Maxine Paetro"	Neljas juuli	Parimate kriminaalromaanide autorid		kriminaalromaan	Ersen	2005		
2546	Edward Phillips Oppenheim	Mõrvad Monte Carlos	Mirabiilia		kriminaalromaan	Eesti Raamat	1997		
2547	Herbert Adams	Mõrv Hollandi aias	Mirabiilia		kriminaalromaan	Eesti Raamat	1996		
2548	Tatjana Ustinova	Pahed ja nende kummardajad	Kaasaegne vene kriminaalromaan		kriminaalromaan	Ersen	2005		
2549	Mark Winegardner	Ristiisa on tagasi	 		romaan	Ersen	2005		
2550	Edgar Wallace	Neljas katk	Mirabiilia		kriminaalromaan	Eesti Raamat	1996		
2551	John le Carre	Jäägitu sõprus	 		romaan	Varrak	2005		
2552	Patricia MacDonald	Naabritüdruk	New York Timesi bestseller		romaan	Ersen	2004		
2553	Dan Brown	Digitaalne kindlus	 		romaan	Ersen	2005		
2554	Nora Roberts	Must Roos	triloogia	II	armastusromaan	Ersen	2005		
2555	Michael Robotham	Kahtlusalune	Maailma menukid		kriminaalromaan	Ersen	2005		
2556	Susan Wilson	Suvesadam	Armastusromaan		armastusromaan	Ersen	2005		
2557	Craig Russell	Verikotkas	 		kriminaalromaan	Varrak	2005		
2558	Oksana Robski	Uusvenelaste naised	 		romaan	Ersen	2005		
2559	P.D. James	Kata ta nägu	 		kriminaalromaan	Tänapäev	2005		
2560	Tatjana Poljakova	Uue põlvkonna ingel	Kaasaegne vene kriminaalromaan		kriminaalromaan	Ersen	2005		
2561	Nancy Thayer	Kuumahoogude klubi jälle hoos	Armastusromaan		romaan	Ersen	2005		
2562	Roxanne St.Claire	Saatuslikud kurvid	Kirg ja põnevus		romaan	Ersen	2005		
2563	Saul Bellow	Mr. Sammleri planeet	XX sajand	8	romaan	Päevaleht	2005		
2564	F. Scott Fitzerald	Suur Gatsby	XX sajand	3	romaan	Päevaleht	2005		
2565	Robert Graves	"Mina, Vlaudius"	XX sajand	4	romaan	Päevaleht	2005		
2566	Vladimir Nabokov	Lolita	XX sajand	2	romaan	Päevaleht	2005		
2567	Virginia Woolf	Tuletorni juurde	XX sajand	5	romaan	Päevaleht	2005		
2568	Anthoni Burgess	Kellavärgiga apelsin	XX sajand	6	romaan	Päevaleht	2005		
2569	Umberto Eco	Roosi nimi	XX sajand	1	romaan	Päevaleht	2005		
2570	Patricia Cornwell	Porikärbes	 		kriminaalromaan	Varrak	2005		
2571	Thomas H. Cook	Hädaoht	Toimik	31	kriminaalromaan	Ersen	2005		
2572	Darja Dontsova	Siirupine madu	irooniline kriminaalromaan		kriminaalromaan	Ersen	2005		
2573	Dino Buzzati	Tatarlaste kõrb	XX sajand	9	romaan	Päevaleht	2005		
2574	Alexander McCall Smith	Ilusate tüdrukute moraal	 		romaan	Varrak	2005		
2575	Hunter Morgan	Üks kahest	Toimik	30	kriminaalromaan	Ersen	2005		
2576	David Herbert Lawrence	Pojad ja armastajad	XX sajand	10	romaan	Päevaleht	2005		
2577	Philip Margolin	Võimumängud	 		kriminaalromaan	Ersen	2005		
2578	Val McDermid	Näkineiu laul	 		kriminaalromaan	Varrak	2005		
2579	Jayne Ann Krentz	Pikk öö	Kirg ja põnevus		romaan	Ersen	2005		
2580	Jürgen Graupmann	Apsud ja äpardused. Noppeid ajaloost	 		populaarteaduslik	Olion	2003		
2581	Irwin Shaw	Noored lõvid	XX sajand	11	romaan	Päevaleht	2005		
2582	Stanislw Lem	Solaris	XX sajand	12	romaan	Päevaleht	2005		
2583	Dean Koontz	Surmani on aega	Maailma menukid		kriminaalromaan	Ersen	2005		
2584	Jain Pears	Giotto käsilane	 		kriminaalromaan	Ersen	2005		
2585	Jean-Paul Sartre	Iiveldus	XX sajand	13	romaan	Päevaleht	2005		
2586	Diana Deverell	12 trummarit	põnevusromaan		romaan	Olion	2002		
