Jrk. nr	Autor	Pealkiri	sarja nimetus	köide	zanr	kirjastus	aasta	kogus	Laenutatud
746	Heimito v. Doderer	Igaühest vôib saada môrvar	Mirabiilia		kriminaalromaan	Eesti Raamat	1974		
747	Adam Hall	Quilleri memorandum	Mirabiilia		kriminaalromaan	Eesti Raamat	1975		
748	Vladimir Karatkevits	Kuningas Stahhi ajujaht	Mirabiilia		kriminaalromaan	Eesti Raamat	1983		
749	Agatha Christie	Paddington 16.50	Mirabiilia		kriminaalromaan	Eesti Raamat	1976	2tk	
750	Wolfgang Held	Must küünal	Mirabiilia		kriminaalromaan	Eesti Raamat	1981	2 tk.	
751	György Botan/Bolics	Redivivus palub tuld	Mirabiilia		kriminaalromaan	Eesti Raamat	1975		
752	John Le Carre'	Väikeses Saksa linnas	Mirabiilia		kriminaalromaan	Eesti Raamat	1973		
753	Bogomil Rajnov	Pole midagi paremat halvast ilmast	Mirabiilia		kriminaalromaan	Eesti Raamat	1978	2 tk.	
754	Isaac Asimov	Igaviku lôpp	Mirabiilia		kriminaalromaan	Eesti Raamat	1973		
755	Vaclav Erben	Andeka kingsepa surm	Mirabiilia		kriminaalromaan	Eesti Raamat	1984		
756	Michael Keyes	Surm tuuril	Meisterdetektiivid		kriminaalromaan	Kuldsulg	1995		
757	Alistair Maclean	Vôidusôitja surm	Meisterdetektiivid		kriminaalromaan	Kuldsulg	1994		
758	nimi -KY	Surnud mehe mängud	Meisterdetektiivid		kriminaalromaan	Kuldsulg	1994		
759	Hans Walldorf	Kuhu viivad jäljed?	Meisterdetektiivid		kriminaalromaan	Kuldsulg	1995		
760	Margery Allingham	Kummituse surm			kriminaalromaan	Kunst	1991		
761	Agatha Christie	Saladuslik reisija			kriminaalromaan	Olion	1991		
762	Carter Brown	Môrv dzassikeldris			kriminaalromaan		1994		
763	L. Bezômenski	"Eritoimik ""Barbarossa"""			Sôjaromaan	Eesti Raamat	1976		
764	Richard Wormser	Pärandijaht			kriminaalromaan	PAF	1994		
765	vene	Ameerika imperialismi verised jaljed				Eesti Raamat	1983		
766	Aldous Huxley	Hea uus ilm			kriminaalromaan	Eesti Raamat	1989		
767	James Hadley Chase	Missioon Sienas			kriminaalromaan	Koolibri	1991		
768	James Hadley Chase	Tiigril sabast			kriminaalromaan	Koolibri	1991		
769	Gerhard Feix	Surm postiga			kriminaalromaan	Olion	1992		
770	Agatha Christie	Tuhkurhobune * Kellad			kriminaalromaan	Eesti Raamat	1982		
771	abee Prevost	Manon Lescaut	Europeia		armastusromaan	Perioodika	1991		
772	Merimee	Colomba * Carmen	Europeia		romantika	Perioodika	1990		
773	Forrest V. Perrin	Don Alfredo dzentelmenlik maffiaboss			maffia	Ilmvalgus	1995		
774	Adam Hall	Quilleri salamander			kriminaalromaan	Hotger	1998		
775	Anya Seton	Avalon			romaan	Olion	1995		
776	Desmond Bagley	Vaenlane			kriminaalromaan	Zamona	1977		
777	Sidney Sheldon	Alasti nagu			kriminaalromaan	H&Ko			
778	Jackie Collins	Hollywoodi mehed		II	kriminaalromaan	PAF	1994		
779	Jackie Collins	Hollywoodi mehed		II	kriminaalromaan	PAF	1994		
780	Ira Levin	Suudlus enne surma			kriminaalromaan	PAF	1994		
781	Dorothy L. Sayers	Kange mürk			kriminaalromaan	Minikiri	1994		
782	Jackie Collins	Veetlevad kättemaksjad			kriminaalromaan	PAF	1994	2 tk.	
783	Grace Metalious	Peyton place			romaan	Olion	1994		
784	Jack Higgins	Üks tund enne sudaööd			romaan	PAF	1992		
785	John Braine	ônne tipul			romaan	PAF	1992		
786	Helmi Mäelo	Üliôpilane Soomest			armastusromaan	Kupar	1993		
787	Hedwig Courths-Mahler	Südamed elutormis			armastusromaan	AED	1994		
788	Hilja Valtonen	Ära hôiska enne ôhtut			armastusromaan	Ronk	1994		
789	Hilja Valtonen	Asenaine			armastusromaan	Harel	1993		
790	Hilja Valtonen	Söerist			armastusromaan	Harel	1994		
791	Hilja Valtonen	Noore naisôpetaja abiventiil			armastusromaan	Ronk	1994		
792	Hilja Valtonen	Hädaabi			armastusromaan	Ronk	1994		
793	Hilja Valtonen	Tarvaala peretütar			armastusromaan	Ronk	1995		
794	Hilja Valtonen	ôpetaja metskass		II	armastusromaan	Harel	1994		
795	Hilja Valtonen	ôpetaja metskass		II	armastusromaan	Harel	1994		
796	Hilja Valtonen	Vallakirjutaja			armastusromaan	Ronk	1994		
797	Steven Carter & Julia Sokol	"Meestele meeldivad naised, kes meeldivad iseendale"			populaarteaduslik	Perioodika	1998		
798	Dale Carnegie	Kuidas vôita sôpru ja môjustada inimesi			populaarteaduslik	Perioodika	1991		
799	Andre Maurois	Kunst elada			populaarteaduslik	AED	1994		
800	Barbara de Angelis	"Saladused meeste kohta, mida iga naine peaks teadma"			populaarteaduslik	Elmatar	1994		
801	Hera Lind	Supernaine			armastusromaan	Eesti Raamat	1999		
802	Tina Grabe	Ma vilistan ilusatele meestele			armastusromaan	Tormikiri	1998		
803	Bernhard Kellermann	Inetu naine			armastusromaan	Varrak	1994		
804	Gaby Hauptmann	Otsin impotentset elukaaslast…			armastusromaan	Tormikiri	1999		
805	Barbara Pym	Vôrratud naised			armastusromaan	Varrak	1993		
806	Dale Carnegie	"Ärge muretsege, hakake elama!"			populaarteaduslik	Ilo	1992		
807	William P. Kennedy	Masakado ôppetund			spiooniromaan	Olion	1994		
808	Graham Green	Salaagent			pônevusromaan	Kuldsulg	1994		
809	Sigrid Undset	Ida Elisabeth			romaan	Ajaraamat	1994		
810	Thomas B. Costain	Viimane armastus			armastusromaan	Ajaraamat	1993		
811	E. R. Braithwaite	Armastatud ôpetajale			romaan	Eesti Raamat	1981		
812	Thomas Hardy	D'Urberville'ide Tess			romaan	Eesti Raamat	1979		
813	Joseph le Poezat-Guigner	Môistetud galeeriorjusse			ajalooline jutustus	Eesti Raamat	1971		
814	Henri Perruchot	Toulouse-Lautrec			bibliograafia	Kunst	1980		
815	Martti Larni	Sellest ei räägita avalikult			romaan	Eesti Raamat	1965		
816	Mika Waltari	Sinuhe			romaan	Eesti Raamat	1991		
817	Aimee Beekman	Mirjami triloogia			romaan	Eesti Raamat	1976		
818	Arved Viirlaid	Ristideta hauad		I	romaan	Perioodika	1991		
819	Arved Viirlaid	Ristideta hauad		II	romaan	Perioodika	1991		
820	Jüri Tuulik	Hirvesarvetube			monolooge ja stseene	Eesti Raamat	1983		
821	Jack Lindsay	Hannibaali käsi mängus			romaan	Eesti Raamat	1967		
822	Aleksei Mussatov	Kutsub karjasarve hääl			jutustus	Eesti Raamat	1977		
823	Juri Bondarev	Kuum lumi			romaan	Eesti Raamat	1971		
824	Tsôngôz Ajtmatov	Ja sajandist on pikem päev	Nüüdisromaan		romaan	Eesti Raamat	1983		
825	Juri Bondarev	Kallas			romaan	Eesti Raamat	1977		
826	Anatoli Varsavski	Kiviaja kolumbused			populaarteaduslik	Valgus	1982		
827	Tsôngôz Ajtmatov	Ema pôld * Hüvasti Gulsarô			romaan	Eesti Raamat	1967		
828	Semjon Tsvigun	Me tuleme tagasi			romaan	Eesti Raamat	1981		
829	Georgi Karaslavov	Minia			romaan	Eesti Raamat	1966		
830	Jelena Iljina	Neljas kôrgus			romaan	Eesti Raamat	1967		
